name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;428;0;565;3043;1082;3043;1059;0
header;233;167;233;198;1860;198;1860;167
A;1027;229;1027;257;1051;257;1051;229
B;554;461;554;479;569;479;569;461
B;1035;895;1035;922;1055;922;1055;895
A;1056;1071;1056;1075;1056;1075;1056;1071
B;888;1109;888;1120;895;1120;895;1109
C;1033;1553;1033;1584;1055;1584;1055;1553
A;1013;1829;1013;1843;1021;1843;1021;1829
D;1041;2224;1041;2251;1062;2251;1062;2224
B;1008;2269;1008;2287;1023;2287;1023;2269
B;739;2362;739;2381;752;2381;752;2362
A;921;2582;921;2582;921;2582;921;2582
A;952;2585;952;2586;954;2586;954;2585
A;1046;2846;1046;2861;1057;2861;1057;2846
A;1002;2868;1002;2873;1008;2873;1008;2868
